Order ID,Order Date,Region,Category,Product Name,Sales
CA-2015-143336,27-08-2015,West,Office Supplies,"Wilson Jones Hanging View Binder, White, 1""",22.72
CA-2017-137330,09-12-2017,Central,Office Supplies,Newell 318,19.46
CA-2017-137330,09-12-2017,Central,Office Supplies,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34
US-2018-156909,16-07-2018,East,Furniture,"Global Deluxe Stacking Chair, Gray",71.372
CA-2016-106320,25-09-2016,West,Furniture,Bretford CR4500 Series Slim Rectangular Table,1044.63
CA-2017-121755,16-01-2017,West,Office Supplies,Wilson Jones Active Use Binders,11.648
CA-2017-121755,16-01-2017,West,Technology,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57
US-2016-150630,17-09-2016,East,Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43
US-2016-150630,17-09-2016,East,Office Supplies,Avery Recycled Flexi-View Covers for Binding Systems,9.618
US-2016-150630,17-09-2016,East,Furniture,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2
US-2016-150630,17-09-2016,East,Office Supplies,Poly String Tie Envelopes,3.264
US-2016-150630,17-09-2016,East,Office Supplies,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304
US-2016-150630,17-09-2016,East,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858
US-2016-150630,17-09-2016,East,Office Supplies,Lumber Crayons,15.76
CA-2018-107727,19-10-2018,Central,Office Supplies,Easy-staple paper,29.472
CA-2017-117590,08-12-2017,Central,Technology,GE 30524EE4,1097.544
CA-2017-117590,08-12-2017,Central,Furniture,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92
CA-2016-117415,27-12-2016,Central,Office Supplies,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328
CA-2016-117415,27-12-2016,Central,Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992
CA-2016-117415,27-12-2016,Central,Furniture,"Global Fabric Manager's Chair, Dark Gray",212.058
CA-2016-117415,27-12-2016,Central,Technology,Plantronics HL10 Handset Lifter,371.168
CA-2018-120999,10-09-2018,Central,Technology,Panasonic Kx-TS550,147.168
CA-2017-101343,17-07-2017,West,Office Supplies,"Eldon Base for stackable storage shelf, platinum",77.88
CA-2018-139619,19-09-2018,South,Office Supplies,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616
CA-2017-118255,11-03-2017,Central,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98
CA-2017-118255,11-03-2017,Central,Office Supplies,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46
CA-2015-146703,20-10-2015,Central,Office Supplies,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96
CA-2017-169194,20-06-2017,East,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45
CA-2017-169194,20-06-2017,East,Technology,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8
CA-2016-115742,18-04-2016,Central,Office Supplies,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22
CA-2016-115742,18-04-2016,Central,Office Supplies,Avery 485,75.18
CA-2016-115742,18-04-2016,Central,Furniture,Longer-Life Soft White Bulbs,6.16
CA-2016-115742,18-04-2016,Central,Furniture,"Global Leather Task Chair, Black",89.99
CA-2017-105816,11-12-2017,East,Office Supplies,Advantus Push Pins,15.26
CA-2017-105816,11-12-2017,East,Technology,AT&T CL83451 4-Handset Telephone,1029.95
CA-2017-111682,17-06-2017,East,Office Supplies,Home/Office Personal File Carts,208.56
CA-2017-111682,17-06-2017,East,Office Supplies,Xerox 232,32.4
CA-2017-111682,17-06-2017,East,Furniture,Novimex Turbo Task Chair,319.41
CA-2017-111682,17-06-2017,East,Office Supplies,"Array Parchment Paper, Assorted Colors",14.56
CA-2017-111682,17-06-2017,East,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30
CA-2017-111682,17-06-2017,East,Office Supplies,Plastic Binding Combs,48.48
CA-2017-111682,17-06-2017,East,Office Supplies,Prang Dustless Chalk Sticks,1.68
CA-2016-135545,24-11-2016,West,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98
CA-2016-135545,24-11-2016,West,Office Supplies,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824
CA-2016-135545,24-11-2016,West,Office Supplies,Xerox 1943,146.73
CA-2016-135545,24-11-2016,West,Furniture,Luxo Economy Swing Arm Lamp,79.76
US-2016-164175,30-04-2016,Central,Furniture,"Global Value Mid-Back Manager's Chair, Gray",213.115
CA-2015-106376,05-12-2015,West,Office Supplies,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024
CA-2015-106376,05-12-2015,West,Technology,netTALK DUO VoIP Telephone Service,167.968
CA-2017-119823,04-06-2017,South,Office Supplies,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88
CA-2017-106075,18-09-2017,East,Office Supplies,Avery Binding System Hidden Tab Executive Style Index Sets,4.616
CA-2018-114440,14-09-2018,Central,Office Supplies,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05
US-2016-134026,26-04-2016,South,Furniture,High-Back Leather Manager's Chair,831.936
US-2016-134026,26-04-2016,South,Furniture,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04
US-2016-134026,26-04-2016,South,Office Supplies,Safco Industrial Wire Shelving System,72.784
US-2018-118038,09-12-2018,Central,Office Supplies,Economy Binders,1.248
US-2018-118038,09-12-2018,Central,Furniture,"6"" Cubicle Wall Clock, Black",9.708
US-2018-118038,09-12-2018,Central,Office Supplies,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24
US-2015-147606,26-11-2015,Central,Furniture,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3
CA-2017-127208,12-06-2017,South,Office Supplies,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16
CA-2017-127208,12-06-2017,South,Office Supplies,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74
CA-2015-139451,12-10-2015,West,Office Supplies,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9
CA-2015-139451,12-10-2015,West,Office Supplies,"Sortfiler Multipurpose Personal File Organizer, Black",21.39
CA-2016-149734,03-09-2016,South,Office Supplies,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984
US-2018-119662,13-11-2018,Central,Office Supplies,Safco Industrial Wire Shelving,230.376
CA-2018-140088,28-05-2018,South,Furniture,Novimex Swivel Fabric Task Chair,301.96
CA-2018-155558,26-10-2018,Central,Technology,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99
CA-2018-155558,26-10-2018,Central,Office Supplies,Avery 511,6.16
CA-2017-159695,05-04-2017,Central,Office Supplies,Eldon Portable Mobile Manager,158.368
CA-2017-109806,17-09-2017,West,Office Supplies,Turquoise Lead Holder with Pocket Clip,20.1
CA-2017-109806,17-09-2017,West,Technology,Panasonic Kx-TS550,73.584
CA-2017-109806,17-09-2017,West,Office Supplies,Xerox 1995,6.48
CA-2016-149587,31-01-2016,Central,Office Supplies,Xerox 1999,12.96
CA-2016-149587,31-01-2016,Central,Furniture,"Seth Thomas 13 1/2"" Wall Clock",53.34
CA-2016-149587,31-01-2016,Central,Office Supplies,Ibico Standard Transparent Covers,32.96
US-2018-109484,06-11-2018,West,Office Supplies,Flexible Leather- Look Classic Collection Ring Binder,5.682
CA-2018-161018,09-11-2018,East,Furniture,9-3/4 Diameter Round Wall Clock,96.53
CA-2018-157833,17-06-2018,West,Office Supplies,Trimflex Flexible Post Binders,51.312
CA-2017-149223,06-09-2017,Central,Office Supplies,Fellowes Basic Home/Office Series Surge Protectors,77.88
CA-2017-158568,29-08-2017,Central,Office Supplies,Avery Personal Creations Heavyweight Cards,64.624
CA-2017-158568,29-08-2017,Central,Technology,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976
CA-2017-158568,29-08-2017,Central,Office Supplies,Avery Hidden Tab Dividers for Binding Systems,1.788
CA-2017-129903,01-12-2017,Central,Office Supplies,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92
US-2016-156867,13-11-2016,West,Technology,Logitech K350 2.4Ghz Wireless Keyboard,238.896
US-2016-156867,13-11-2016,West,Furniture,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36
US-2016-156867,13-11-2016,West,Office Supplies,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882
CA-2018-119004,23-11-2018,South,Technology,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112
CA-2018-119004,23-11-2018,South,Technology,Speck Products Candyshell Flip Case,27.992
CA-2018-119004,23-11-2018,South,Office Supplies,Newell Chalk Holder,3.304
CA-2016-129476,15-10-2016,Central,Technology,Logitech Gaming G510s - Keyboard,339.96
CA-2018-146780,25-12-2018,East,Furniture,Magnifier Swing Arm Lamp,41.96
CA-2017-128867,03-11-2017,Central,Office Supplies,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96
CA-2017-128867,03-11-2017,Central,Office Supplies,"Avery Durable Plastic 1"" Binders",27.24
CA-2015-115259,25-08-2015,East,Office Supplies,"OIC Colored Binder Clips, Assorted Sizes",40.096
CA-2015-115259,25-08-2015,East,Office Supplies,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72
CA-2015-115259,25-08-2015,East,Office Supplies,Xerox 1921,23.976
CA-2015-115259,25-08-2015,East,Office Supplies,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464
CA-2016-110457,02-03-2016,West,Furniture,Hon Racetrack Conference Tables,787.53
US-2016-136476,05-04-2016,South,Office Supplies,GBC DocuBind 300 Electric Binding Machine,157.794
CA-2017-103730,12-06-2017,East,Furniture,Artistic Insta-Plaque,47.04
CA-2017-103730,12-06-2017,East,Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill,30.84
CA-2017-103730,12-06-2017,East,Office Supplies,"Companion Letter/Legal File, Black",226.56
CA-2017-103730,12-06-2017,East,Office Supplies,Globe Weis Peel & Seel First Class Envelopes,115.02
CA-2017-103730,12-06-2017,East,Technology,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04
US-2015-152030,26-12-2015,Central,Furniture,Global Deluxe High-Back Manager's Chair,600.558
US-2015-134614,20-09-2015,Central,Furniture,Bevis 44 x 96 Conference Tables,617.7
US-2018-107272,05-11-2018,West,Office Supplies,"Avery Durable Slant Ring Binders, No Labels",2.388
US-2018-107272,05-11-2018,West,Office Supplies,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992
US-2017-125969,06-11-2017,West,Furniture,"Global Task Chair, Black",81.424
US-2017-125969,06-11-2017,West,Furniture,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56
US-2018-164147,02-02-2018,East,Technology,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97
US-2018-164147,02-02-2018,East,Office Supplies,Xerox 1916,78.304
US-2018-164147,02-02-2018,East,Office Supplies,Staples,21.456
CA-2017-145583,13-10-2017,West,Office Supplies,Xerox 195,20.04
CA-2017-145583,13-10-2017,West,Office Supplies,Xerox 1880,35.44
CA-2017-145583,13-10-2017,West,Office Supplies,"Sanford Colorific Colored Pencils, 12/Box",11.52
CA-2017-145583,13-10-2017,West,Office Supplies,Ideal Clamps,4.02
CA-2017-145583,13-10-2017,West,Office Supplies,GBC Wire Binding Strips,76.176
CA-2017-145583,13-10-2017,West,Office Supplies,Fiskars Softgrip Scissors,65.88
CA-2017-145583,13-10-2017,West,Furniture,Longer-Life Soft White Bulbs,43.12
CA-2017-110366,05-09-2017,East,Furniture,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8
CA-2018-106180,18-09-2018,West,Office Supplies,Newell 343,8.82
CA-2018-106180,18-09-2018,West,Office Supplies,Convenience Packs of Business Envelopes,10.86
CA-2018-106180,18-09-2018,West,Office Supplies,Xerox 1911,143.7
CA-2018-155376,22-12-2018,Central,Office Supplies,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43
CA-2016-110744,07-09-2016,West,Office Supplies,Safco Industrial Wire Shelving,671.93
CA-2015-110072,22-10-2015,East,Furniture,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888
CA-2017-114489,05-12-2017,Central,Technology,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45
CA-2017-114489,05-12-2017,Central,Technology,Anker Astro 15000mAh USB Portable Charger,149.97
CA-2017-114489,05-12-2017,Central,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84
CA-2017-114489,05-12-2017,Central,Office Supplies,GBC Prestige Therm-A-Bind Covers,171.55
CA-2017-158834,13-03-2017,West,Office Supplies,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92
CA-2017-158834,13-03-2017,West,Technology,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184
CA-2016-124919,31-05-2016,West,Office Supplies,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38
CA-2016-124919,31-05-2016,West,Office Supplies,Xerox 1883,105.52
CA-2016-124919,31-05-2016,West,Office Supplies,"Tenex Personal Project File with Scoop Front Design, Black",80.88
CA-2016-118948,28-05-2016,West,Office Supplies,Newell 311,6.63
CA-2015-104269,01-03-2015,West,Furniture,Global Deluxe High-Back Manager's Chair,457.568
CA-2017-114104,20-11-2017,Central,Office Supplies,Avery 519,14.62
CA-2017-114104,20-11-2017,Central,Technology,Avaya 5420 Digital phone,944.93
CA-2017-162733,11-05-2017,West,Office Supplies,Xerox 1920,5.98
CA-2016-119697,28-12-2016,East,Technology,Lenovo 17-Key USB Numeric Keypad,54.384
CA-2017-154508,16-11-2017,West,Office Supplies,Staple envelope,28.4
CA-2017-113817,07-11-2017,West,Office Supplies,Wilson Jones International Size A4 Ring Binders,27.68
CA-2015-139892,08-09-2015,Central,Office Supplies,BIC Brite Liner Highlighters,9.936
CA-2015-139892,08-09-2015,Central,Technology,Lexmark MX611dhe Monochrome Laser Printer,8159.952
CA-2015-139892,08-09-2015,Central,Office Supplies,Space Solutions HD Industrial Steel Shelving.,275.928
CA-2015-139892,08-09-2015,Central,Furniture,SAFCO Arco Folding Chair,1740.06
CA-2015-139892,08-09-2015,Central,Office Supplies,Sanford Liquid Accent Highlighters,32.064
CA-2015-139892,08-09-2015,Central,Office Supplies,Kensington 7 Outlet MasterPiece Power Center,177.98
CA-2015-139892,08-09-2015,Central,Technology,JBL Micro Wireless Portable Bluetooth Speaker,143.976
CA-2015-118962,05-08-2015,West,Office Supplies,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94
CA-2015-118962,05-08-2015,West,Office Supplies,Xerox 1913,110.96
CA-2015-118962,05-08-2015,West,Furniture,"Global Value Steno Chair, Gray",340.144
US-2015-100853,14-09-2015,Central,Office Supplies,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448
US-2015-100853,14-09-2015,Central,Office Supplies,Avery 51,20.16
US-2018-152366,21-04-2018,Central,Office Supplies,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264
US-2016-101511,21-11-2016,East,Furniture,"Padded Folding Chairs, Black, 4/Carton",396.802
US-2016-101511,21-11-2016,East,Office Supplies,Acme Rosewood Handle Letter Opener,15.88
CA-2016-137225,15-12-2016,East,Office Supplies,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28
CA-2015-166191,05-12-2015,Central,Office Supplies,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816
CA-2015-166191,05-12-2015,Central,Technology,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.744
CA-2015-158274,19-11-2015,South,Technology,AT&T TR1909W,503.96
CA-2015-158274,19-11-2015,South,Technology,Nokia Lumia 521 (T-Mobile),149.95
CA-2015-158274,19-11-2015,South,Technology,HP Standard 104 key PS/2 Keyboard,29
CA-2017-105018,28-11-2017,East,Office Supplies,Avery Poly Binder Pockets,7.16
CA-2015-123260,26-08-2015,West,Technology,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8
CA-2017-157000,16-07-2017,Central,Office Supplies,"Personal Filing Tote with Lid, Black/Gray",37.224
CA-2017-157000,16-07-2017,Central,Office Supplies,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016
CA-2016-102281,12-10-2016,East,Furniture,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136
CA-2016-102281,12-10-2016,East,Technology,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76
CA-2016-102281,12-10-2016,East,Office Supplies,Xerox 205,51.84
CA-2016-102281,12-10-2016,East,Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352
CA-2016-102281,12-10-2016,East,Office Supplies,4009 Highlighters by Sanford,19.9
CA-2016-131457,31-10-2016,West,Office Supplies,Poly String Tie Envelopes,14.28
CA-2015-140004,21-03-2015,East,Office Supplies,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408
CA-2015-140004,21-03-2015,East,Office Supplies,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",6.048
CA-2018-107720,06-11-2018,East,Office Supplies,Decoflex Hanging Personal Folder File,46.26
US-2018-124303,06-07-2018,East,Office Supplies,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946
US-2018-124303,06-07-2018,East,Office Supplies,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056
CA-2018-105074,24-06-2018,East,Office Supplies,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744
CA-2015-133690,03-08-2015,West,Furniture,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75
CA-2015-133690,03-08-2015,West,Office Supplies,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6
US-2018-116701,17-12-2018,Central,Office Supplies,Eureka Sanitaire  Commercial Upright,66.284
CA-2018-126382,03-06-2018,South,Furniture,"Eldon 200 Class Desk Accessories, Burgundy",35.168
CA-2018-108329,09-12-2018,West,Technology,Nortel Business Series Terminal T7208 Digital phone,444.768
CA-2018-135860,01-12-2018,Central,Office Supplies,"Tennsco Lockers, Gray",83.92
CA-2018-135860,01-12-2018,Central,Technology,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98
CA-2018-135860,01-12-2018,Central,Office Supplies,"Avery Durable Slant Ring Binders, No Labels",15.92
CA-2018-135860,01-12-2018,Central,Office Supplies,"Advantus Push Pins, Aluminum Head",52.29
CA-2018-135860,01-12-2018,Central,Office Supplies,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99
CA-2016-101007,09-02-2016,Central,Technology,Memorex Micro Travel Drive 8 GB,20.8
CA-2016-146262,02-01-2016,East,Office Supplies,Avery 505,23.68
CA-2016-146262,02-01-2016,East,Furniture,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45
CA-2016-146262,02-01-2016,East,Technology,Speck Products Candyshell Flip Case,62.982
CA-2016-146262,02-01-2016,East,Technology,Cisco 9971 IP Video Phone Charcoal,1188
CA-2016-146262,02-01-2016,East,Technology,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584
CA-2017-130162,28-10-2017,West,Office Supplies,"Personal Filing Tote with Lid, Black/Gray",93.06
CA-2017-130162,28-10-2017,West,Technology,Adtran 1202752G1,302.376
CA-2016-169397,24-12-2016,East,Office Supplies,OIC Bulk Pack Metal Binder Clips,5.584
CA-2016-169397,24-12-2016,East,Office Supplies,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",22.704
CA-2016-169397,24-12-2016,East,Office Supplies,Ibico Standard Transparent Covers,19.776
CA-2016-169397,24-12-2016,East,Furniture,"Executive Impressions 14"" Two-Color Numerals Wall Clock",72.704
CA-2016-169397,24-12-2016,East,Technology,Swingline SM12-08 MicroCut Jam Free Shredder,479.988
CA-2016-169397,24-12-2016,East,Office Supplies,Stanley Bostitch Contemporary Electric Pencil Sharpeners,27.168
CA-2016-163055,09-08-2016,Central,Office Supplies,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",2.2
CA-2016-163055,09-08-2016,Central,Furniture,Bevis 36 x 72 Conference Tables,622.45
CA-2016-163055,09-08-2016,Central,Office Supplies,Rogers Deluxe File Chest,21.98
US-2016-145436,28-02-2016,South,Furniture,Global Low Back Tilter Chair,161.568
US-2016-145436,28-02-2016,South,Furniture,"Global Push Button Manager's Chair, Indigo",389.696
US-2015-156216,13-09-2015,South,Office Supplies,GBC Instant Index System for Binding Systems,18.648
US-2018-100930,07-04-2018,South,Furniture,Bush Advantage Collection Round Conference Table,233.86
US-2018-100930,07-04-2018,South,Furniture,Bretford Rectangular Conference Table Tops,620.6145
US-2018-100930,07-04-2018,South,Office Supplies,GBC Instant Index System for Binding Systems,5.328
US-2018-100930,07-04-2018,South,Furniture,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",258.072
US-2018-100930,07-04-2018,South,Technology,Logitech P710e Mobile Speakerphone,617.976
CA-2018-160514,12-11-2018,West,Office Supplies,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10.56
CA-2017-157749,04-06-2017,Central,Office Supplies,Xerox 1957,25.92
CA-2017-157749,04-06-2017,Central,Furniture,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,419.68
CA-2017-157749,04-06-2017,Central,Furniture,Staple-based wall hangings,11.688
CA-2017-157749,04-06-2017,Central,Technology,PureGear Roll-On Screen Protector,31.984
CA-2017-157749,04-06-2017,Central,Furniture,KI Conference Tables,177.225
CA-2017-157749,04-06-2017,Central,Furniture,Eldon 100 Class Desk Accessories,4.044
CA-2017-157749,04-06-2017,Central,Office Supplies,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408
CA-2015-131926,01-06-2015,Central,Furniture,Global Deluxe High-Back Manager's Chair,2001.86
CA-2015-131926,01-06-2015,Central,Office Supplies,Safco Steel Mobile File Cart,166.72
CA-2015-131926,01-06-2015,Central,Office Supplies,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",47.88
CA-2015-131926,01-06-2015,Central,Office Supplies,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1503.25
CA-2015-131926,01-06-2015,Central,Office Supplies,Xerox 205,25.92
CA-2017-154739,10-12-2017,West,Furniture,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.568
CA-2017-145625,11-09-2017,West,Office Supplies,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",7.61
CA-2017-145625,11-09-2017,West,Technology,Logitech P710e Mobile Speakerphone,3347.37
CA-2017-146941,10-12-2017,East,Office Supplies,"Fellowes Personal Hanging Folder Files, Navy",80.58
CA-2017-146941,10-12-2017,East,Office Supplies,Tyvek Side-Opening Peel & Seel Expanding Envelopes,361.92
US-2016-159982,28-11-2016,Central,Furniture,Eldon 100 Class Desk Accessories,12.132
US-2016-159982,28-11-2016,Central,Office Supplies,"Belkin 19"" Vented Equipment Shelf, Black",82.368
US-2016-159982,28-11-2016,Central,Office Supplies,"Tenex Personal Project File with Scoop Front Design, Black",53.92
US-2016-159982,28-11-2016,Central,Technology,Logitech Mobile Speakerphone P710e - speaker phone,647.904
CA-2018-163139,01-12-2018,East,Technology,Sabrent 4-Port USB 2.0 Hub,20.37
CA-2018-163139,01-12-2018,East,Office Supplies,Safco Industrial Shelving,221.55
CA-2018-163139,01-12-2018,East,Office Supplies,Acco 3-Hole Punch,17.52
US-2018-155299,08-06-2018,Central,Office Supplies,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,1.624
US-2015-106992,19-09-2015,Central,Technology,Lexmark MX611dhe Monochrome Laser Printer,3059.982
US-2015-106992,19-09-2015,Central,Technology,Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.958
CA-2017-125318,06-06-2017,Central,Technology,Cisco Small Business SPA 502G VoIP phone,328.224
CA-2016-155040,10-11-2016,West,Technology,Microsoft Sculpt Comfort Mouse,79.9
CA-2018-136826,16-06-2018,South,Office Supplies,"Quartet Omega Colored Chalk, 12/Pack",14.016
CA-2017-111010,22-01-2017,East,Office Supplies,Bagged Rubber Bands,7.56
US-2018-145366,09-12-2018,East,Office Supplies,Safco Commercial Shelving,37.208
US-2018-145366,09-12-2018,East,Office Supplies,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",57.576
CA-2018-163979,28-12-2018,West,Office Supplies,Adjustable Depth Letter/Legal Cart,725.84
CA-2016-155334,30-07-2016,West,Technology,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,209.93
CA-2016-155334,30-07-2016,West,Furniture,Regeneration Desk Collection,5.28
CA-2016-155334,30-07-2016,West,Office Supplies,Presstex Flexible Ring Binders,10.92
CA-2018-118136,16-09-2018,West,Office Supplies,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",8.82
